,UserName,DeltaPercentage,TotalViewerCount,LeaversFollowers
0,서새봄냥,-0.1684576396523343,58053811,5
1,imaqtpie,2.609207932483185,322465881,7
2,rhobalas_lol,0.102963731617352,2205374,0
3,rainbrain,0.14245278629646774,10747827,0
4,Flanalistaa,0.07851728995952173,4571984,2
5,OgamingLoL,-0.4970091292016027,164950493,3
6,Metaphor,0.01800269352506234,2422325,2
7,서새봄냥,0.44388131883410864,58053811,5
8,imaqtpie,1.6688712590579335,322465881,6
9,TFBlade,-3.7689503448225157,37547888,7
10,rainbrain,0.23370037546951827,10747827,0
11,Flanalistaa,0.27907414153575083,4571984,2
12,rhobalas_lol,0.08958593689920974,2205374,0
13,OgamingLoL,-0.506481311233258,164950493,3
14,Metaphor,0.008144087791003951,2422325,1
15,TFBlade,0.043875942177487026,37547888,7
16,서새봄냥,-0.2596238764521699,58053811,5
17,Flanalistaa,0.6604198773690886,4571984,2
18,rainbrain,0.32972238689291766,10747827,0
19,rhobalas_lol,0.1259615619998256,2205374,0
20,ClovaoBengala,0.017757513890828913,2887391,1
21,Metaphor,0.056784098626980806,2422325,1
22,TFBlade,-0.43172595672474934,37547888,7
23,Flanalistaa,0.646709955994944,4571984,2
24,rainbrain,0.36713885179579686,10747827,0
25,rhobalas_lol,0.21953744200044695,2205374,0
26,ClovaoBengala,0.09246703244741306,2887391,1
27,Metaphor,0.11203890882403011,2422325,1
28,TFBlade,0.7821502710311012,37547888,7
29,Flanalistaa,1.9176150451562048,4571984,2
30,ClovaoBengala,0.8078764736378846,2887391,1
31,rainbrain,0.5344356732109159,10747827,0
32,rhobalas_lol,0.2925275750308853,2205374,0
33,Metaphor,0.2487288443414049,2422325,1
34,OgamingLoL,-0.5067503214236065,164950493,3
35,TFBlade,1.4653535751365654,37547888,7
36,Flanalistaa,2.164506906152612,4571984,2
37,yeTz,-0.5527867816799905,42503176,1
38,ClovaoBengala,0.8317888606399663,2887391,1
39,rainbrain,0.4410541100654757,10747827,0
40,AdcShiiro,0.4666788450153193,1013630,0
41,Metaphor,0.29212190736978966,2422325,1
42,TFBlade,4.514155996521364,37547888,7
43,yeTz,0.9580713353554315,42503176,1
44,Flanalistaa,1.9175970473770227,4571984,2
45,테디이,0.18822293137283963,2350766,3
46,ClovaoBengala,0.7655336934623355,2887391,1
47,lol_Khan,0.04007204878506099,1530934,3
48,rainbrain,0.44400970989407795,10747827,0
49,Metaphor,0.30049261097764685,2422325,1
50,AdcShiiro,0.3072850521937165,1013630,0
51,OgamingLoL,-0.5332618785081926,164950493,3
52,Faker,-12.05727417258409,66177341,8
53,TFBlade,3.42110439815578,37547888,7
54,yeTz,0.5257281541859007,42503176,1
55,lol_Khan,0.6662384449938941,1530934,2
56,Flanalistaa,1.1595571266991276,4571984,2
57,테디이,-0.1487706582327979,2350766,2
58,Solary,-2.592911823043967,87110241,0
59,clid,-0.7814361458180908,957268,1
60,ClovaoBengala,0.3994678812567992,2887391,1
61,rainbrain,0.3084224750569895,10747827,0
62,Metaphor,0.12479510162812901,2422325,1
63,AdcShiiro,0.12307573369025354,1013630,0
64,OgamingLoL,-0.5948366061617885,164950493,2
65,Faker,-7.3715977157371455,66177341,8
66,TFBlade,2.6217827516068004,37547888,7
67,yeTz,0.5402017497697356,42503176,1
68,lol_Khan,0.46958183016704136,1530934,2
69,Solary,-2.6546278457778074,87110241,0
70,테디이,-0.2997216554645119,2350766,2
