,UserName,DeltaAbsolute,DeltaPercentage,ViewCount,TotalViewerCount,LeaversFollowers,RequestTime,Distance
0,forsen,-465,3.3707134143910586,10767,119785565,0,2019-11-11 17:30:15,49
1,esl_csgo_pl,-2356,-2.631380699913164,6379,44760959,0,2019-11-11 17:30:15,49
2,IzakOOO,-18,1.0748534768850142,2725,146478203,0,2019-11-11 17:30:15,49
3,gaules,-75,0.845764598170275,2475,78643635,0,2019-11-11 17:30:15,49
4,ESL_CSGO,323,1.46768922040369,1831,403942065,0,2019-11-11 17:30:15,49
5,PAGO3,-106,0.5959622631209114,2033,29959694,0,2019-11-11 17:30:15,49
6,uccstudio5,1180,2.857470199842171,568,6068830,0,2019-11-11 17:30:15,49
7,fl0m,92,0.862149729143268,1607,37289665,0,2019-11-11 17:30:16,49
8,valentineche,201,0.9610290653382987,1256,4475115,0,2019-11-11 17:30:16,49
9,龜狗,0,0.5670632487223228,1386,16385518,0,2019-11-11 17:30:16,49
10,cheatbanned,-39,0.46107269128920647,1339,44165071,0,2019-11-11 17:30:16,49
11,zorlaKOKA,112,0.7127118999792126,1133,18435035,0,2019-11-11 17:30:16,49
12,JASONR,-22,0.31682588803568335,894,31985256,0,2019-11-11 17:30:16,49
13,shoke,218,0.7406828650700907,625,470017,0,2019-11-11 17:30:16,49
14,Hiko,-42,0.23387416072479006,800,17659560,0,2019-11-11 17:30:16,49
15,uccstudio3,384,0.921771061010659,165,2541687,0,2019-11-11 17:30:17,49
16,maleK_CSGO,53,0.3200196167765338,494,3202602,0,2019-11-11 17:30:17,49
17,mch_AGG,-47,0.12169421151651916,553,7320361,0,2019-11-11 17:30:17,49
18,ESEA,320,0.7818486250357206,171,54446458,0,2019-11-11 17:30:17,49
19,UCCleague,-3247,-5.69734175276133,3730,36343911,1,2019-11-11 17:30:17,49
20,ThunderMediaTV,-1222,-2.042622147930009,1652,5324703,0,2019-11-11 17:30:17,49
21,nookyyy,-58,0.055082056835026316,450,8952026,0,2019-11-11 17:30:18,49
22,inet_saju,59,0.2544041316383604,301,3327509,0,2019-11-11 17:30:18,49
23,FURIAtv,-15,0.11596516903239396,365,2687603,0,2019-11-11 17:30:18,49
24,KalashnikovMediaTV,-2317,-4.069471456100571,2652,4548502,0,2019-11-11 17:30:18,49
25,uccstudio4,191,0.4768674620597981,127,5608135,0,2019-11-11 17:30:18,49
26,SampeV2,9,0.13212521432378505,274,4506434,0,2019-11-11 17:30:18,49
27,Wolfangkillers,-25,0.0626243456273462,289,2360338,0,2019-11-11 17:30:18,49
28,CSRfps,-2,0.10233534852036519,261,948581,0,2019-11-11 17:30:19,49
29,ENERQIAofficiaI,96,0.2651170872795167,126,1998309,0,2019-11-11 17:30:19,49
30,murilo_RT,-6,0.07911699106013348,226,455130,0,2019-11-11 17:30:19,49
31,Horcus,80,0.23320500235895492,135,372068,0,2019-11-11 17:30:19,49
32,gabesson1,25,0.12721501036627397,175,443582,0,2019-11-11 17:30:20,49
33,Wendouuille,-61,-0.0338283221650722,249,277361,0,2019-11-11 17:30:20,49
34,dmitriifiv,2,0.0780938669821919,180,1215380,0,2019-11-11 17:30:20,49
35,kirdez,4,0.0813157465789689,177,736422,0,2019-11-11 17:30:20,49
36,LOLYOU,-1,0.07101079660003301,179,6635579,0,2019-11-11 17:30:20,49
37,卡薩夫,-18,0.038919749781896606,193,609963,0,2019-11-11 17:30:20,49
38,ant1ka,29,0.12424862906876499,146,2301318,0,2019-11-11 17:30:20,49
39,SantiexCSGO,-7,0.055208109663356375,173,266134,0,2019-11-11 17:30:21,49
40,immortal,46,0.15061176428364564,118,1646810,0,2019-11-11 17:30:21,49
41,aiyvan,11,0.08297761640508072,143,228948,0,2019-11-11 17:30:21,49
42,Reality,-17,0.03173425390385659,170,1105228,0,2019-11-11 17:30:21,49
43,fluyr,1,0.0599128971886706,141,3102313,0,2019-11-11 17:30:21,49
44,forsen,144,-5.025174723199221,10302,119785565,0,2019-11-11 18:00:16,49
45,uccstudio5,5409,8.370656605267467,1748,6068830,1,2019-11-11 18:00:16,49
46,esl_csgo_pl,1281,0.13555790783080113,4023,44760959,0,2019-11-11 18:00:16,49
47,uccstudio3,1842,2.8742507857648265,549,2541687,1,2019-11-11 18:00:16,49
48,gaules,-65,-1.3394896543317634,2400,78643635,0,2019-11-11 18:00:16,49
49,uccstudio4,1937,3.155187199423857,318,5608135,1,2019-11-11 18:00:17,49
50,IzakOOO,-480,-2.2074504117837,2707,146478203,0,2019-11-11 18:00:17,49
51,ESL_CSGO,-286,-1.5921585629128083,2154,403942065,0,2019-11-11 18:00:17,49
52,PAGO3,-150,-1.2430395355167634,1927,29959694,0,2019-11-11 18:00:17,49
53,fl0m,-123,-1.08011655552551,1699,37289665,0,2019-11-11 18:00:17,49
54,zorlaKOKA,218,-0.2636873393767911,1245,18435035,0,2019-11-11 18:00:17,49
55,龜狗,-50,-0.7949024833245204,1386,16385518,0,2019-11-11 18:00:17,49
56,cheatbanned,-1,-0.6669609157378011,1300,44165071,0,2019-11-11 18:00:18,49
57,valentineche,-174,-1.0436367660941057,1457,4475115,0,2019-11-11 18:00:18,49
58,uccstudio2,1002,1.575103944976239,276,7832106,0,2019-11-11 18:00:18,49
59,ESEA,516,0.6326052846596639,491,54446458,0,2019-11-11 18:00:18,49
60,Hiko,111,-0.19775714973075376,758,17659560,0,2019-11-11 18:00:18,49
