,UserName,DeltaAbsolute,DeltaPercentage,ViewCount,TotalViewerCount,LeaversFollowers,RequestTime,Distance
0,NymN,1161,-0.04107151707308265,3565,5651854,0,2019-11-11 17:30:08,49
1,KingRichard,-6271,-12.094049478107873,10667,31869562,1,2019-11-11 17:30:09,49
2,zoodasa,-291,-2.2590142091825722,4620,1609796,0,2019-11-11 17:30:09,49
3,견자희,-8,-0.9885823503092426,2378,10590705,1,2019-11-11 17:30:09,49
4,Homyatol,270,-0.36431109024008856,1691,2301857,1,2019-11-11 17:30:10,49
5,Staiy,1525,1.7260470604620712,358,20187035,2,2019-11-11 17:30:10,49
6,蝦愛橘子,-431,-1.4279596867602278,2183,18923183,0,2019-11-11 17:30:10,49
7,Kandyland,59,-0.6239268838167051,1692,10984482,0,2019-11-11 17:30:10,49
8,segall,-118,-0.8113177115532082,1619,5742055,0,2019-11-11 17:30:10,49
9,melonyeahyeahyeah,-245,-0.9660968556443101,1616,1252919,0,2019-11-11 17:30:10,49
10,Aayley,395,0.1423878446379092,833,2322259,0,2019-11-11 17:30:10,49
11,Ko0416,-133,-0.6930975528397048,1287,25054156,0,2019-11-11 17:30:11,49
12,AhriNyan,-290,-0.906544504744017,1337,5376354,1,2019-11-11 17:30:11,49
13,케인,-102,-0.5447100102350604,1019,9130604,0,2019-11-11 17:30:11,49
14,악녀,104,-0.17763838963997358,742,5068816,1,2019-11-11 17:30:11,49
15,木棉花官方頻道,-91,-0.490861435087967,921,2132580,0,2019-11-11 17:30:11,49
16,alison_channel,15,-0.28203192139914657,730,229377,0,2019-11-11 17:30:12,49
17,Sintica,-159,-0.5497011993344921,861,4355902,0,2019-11-11 17:30:12,49
18,Pato,238,0.11827107071197851,423,98237,0,2019-11-11 17:30:12,49
19,聶寶,40,-0.1932867071325438,589,7554293,0,2019-11-11 17:30:12,49
20,TheRealKubalibre,-55,-0.34250542286623287,668,521162,0,2019-11-11 17:30:12,49
21,단팽이,29,-0.15247019329044653,457,318509,0,2019-11-11 17:30:13,49
22,jamclub,-7,-0.20739587855328345,483,4397800,1,2019-11-11 17:30:13,49
23,MEEGERA,100,-0.0294417216983901,370,1823896,0,2019-11-11 17:30:13,49
