,UserName,DeltaAbsolute,DeltaPercentage,ViewCount,TotalViewerCount,LeaversFollowers,RequestTime,Distance
0,Faker,-2081,-0.40450043276300107,41353,66177341,0,2019-11-11 17:30:02,49
1,한동숙,-273,0.2517456474722142,20103,50998396,0,2019-11-11 17:30:02,49
2,NoWay4u_Sir,-59,0.18001039918233985,10393,38866827,0,2019-11-11 17:30:02,49
3,얍얍,143,0.28755660958089635,9667,55118201,0,2019-11-11 17:30:02,49
4,TFBlade,1269,0.9350571015081606,7932,37547888,1,2019-11-11 17:30:02,49
5,서새봄냥,-571,-0.2011108418068197,7007,58053811,0,2019-11-11 17:30:02,49
6,IWillDominate,739,0.5462071246080349,4700,52797710,1,2019-11-11 17:30:02,49
7,Solary,-1715,-0.8983298735944554,6874,87110241,0,2019-11-11 17:30:03,49
8,clid,1185,0.7791532864505046,2880,957268,0,2019-11-11 17:30:03,49
9,jovirone,-323,-0.10719436552523565,4280,56151830,0,2019-11-11 17:30:03,49
10,Corobizar,145,0.15140049108943043,3052,7754001,0,2019-11-11 17:30:03,49
11,Shiphtur,553,0.3898121531547212,2606,46028506,1,2019-11-11 17:30:03,49
12,yeTz,-305,-0.11570500977670051,3344,42503176,0,2019-11-11 17:30:03,49
13,スタンミ,-130,-0.014560285545605733,3099,5913220,0,2019-11-11 17:30:03,49
14,imaqtpie,1039,0.6647538310606718,1639,322465881,1,2019-11-11 17:30:03,49
15,Werlyb,37,0.07354610589697796,2460,1975195,0,2019-11-11 17:30:04,49
16,grafo,252,0.19162121594084502,1861,10105128,0,2019-11-11 17:30:04,49
17,lol_Khan,107,0.1029147001843802,1828,1530934,1,2019-11-11 17:30:04,49
18,西門夜說,-187,-0.07098729232836276,2048,28278737,0,2019-11-11 17:30:04,49
19,테디이,-909,-0.494673445724215,2751,2350766,0,2019-11-11 17:30:04,49
20,OgamingLoL,165,0.13162328371332788,1515,164950493,0,2019-11-11 17:30:04,49
21,ThaldrinLol,878,0.5483923979466929,742,21507787,2,2019-11-11 17:30:04,49
22,Opat04,94,0.08536673341003975,1363,4383579,0,2019-11-11 17:30:04,49
23,AdamKissAK,842,0.5217210318949492,510,9083903,0,2019-11-11 17:30:05,49
24,FabulousN,428,0.2786080223478846,905,1613365,1,2019-11-11 17:30:05,49
