,UserName,DeltaAbsolute,DeltaPercentage,ViewCount,TotalViewerCount,LeaversFollowers,RequestTime,Distance
0,Shaunz,-254,-2.6177754683666983,2796,5338276,1,2019-11-11 17:30:22,49
1,Sp4zie,197,0.6659504121866124,1650,25628699,0,2019-11-11 17:30:22,49
2,Evangelion0,528,3.0827186422218453,790,17244981,0,2019-11-11 17:30:22,49
3,TabzzHD,145,0.5657238834604268,1003,3237626,3,2019-11-11 17:30:22,49
4,ReventXz,117,0.37727321715271334,1031,4410832,0,2019-11-11 17:30:22,49
5,BlackFIreIce,-215,-1.8357752049849445,1303,25234271,0,2019-11-11 17:30:22,49
6,armatvhs,336,2.0127266180513925,360,47853103,1,2019-11-11 17:30:22,49
7,阿寧,-75,-0.7488150373189777,758,7407503,0,2019-11-11 17:30:23,49
8,DarkHydra,-15,-0.27853422657568583,512,408948,3,2019-11-11 17:30:23,49
9,Snowlz,15,-0.030888292155992758,354,2705510,0,2019-11-11 17:30:23,49
10,23x59,83,0.44893026319070817,224,963193,1,2019-11-11 17:30:23,49
11,두니주니,33,0.13706497347879898,205,21886,0,2019-11-11 17:30:23,49
12,leduck_lol,85,0.49347619727497594,135,501024,2,2019-11-11 17:30:23,49
13,Necrit94,32,0.1592759597647183,125,158039,0,2019-11-11 17:30:23,49
14,KenRhen,0,-0.053952425321574626,151,357061,0,2019-11-11 17:30:24,49
15,ajoe1231,-7,-0.09356177446967451,137,420550,0,2019-11-11 17:30:24,49
16,enjoooy1,-14,-0.12566780618894624,102,112675,0,2019-11-11 17:30:24,49
17,bestsatojp,5,0.002566732492660373,82,33603,0,2019-11-11 17:30:24,49
18,Pottux,-24,-0.18975590811506027,103,2885243,0,2019-11-11 17:30:24,49
19,H2211Games,9,0.033418565380291254,67,43666,0,2019-11-11 17:30:24,49
20,chenchen1771,-1,-0.02602462575654807,55,367096,0,2019-11-11 17:30:25,49
21,Koenigsblauer,-5,-0.05115964536507178,54,90225,0,2019-11-11 17:30:25,49
22,MortSC2,13,0.07105911403686208,33,719049,0,2019-11-11 17:30:25,49
23,bstln,10,0.05265447536789952,31,172106,2,2019-11-11 17:30:25,49
24,GrandVice8,-13,-0.10142968458211918,52,12037,0,2019-11-11 17:30:25,49
25,shtyr,7,0.033535235039048567,31,5331071,0,2019-11-11 17:30:25,49
26,いけなる,3,0.0073283129406922776,33,52004,0,2019-11-11 17:30:25,49
27,EmQill,-12,-0.09327010032278116,47,413286,0,2019-11-11 17:30:26,49
28,firstpinkbeaver,-34,-0.24098118016318298,68,201911,0,2019-11-11 17:30:26,49
29,Jiburi_,0,-0.01179092738815865,33,17904,0,2019-11-11 17:30:26,49
30,cayna,13,0.0757040248261367,20,853178,0,2019-11-11 17:30:26,49
31,Maylie_tv,9,0.04913980189783615,23,1250459,0,2019-11-11 17:30:26,49
32,MaximPear,0,-0.011076325728270248,31,7936,0,2019-11-11 17:30:26,49
33,feedurrr,2,0.003456338640684703,26,29019,0,2019-11-11 17:30:26,49
34,onlycopycat,3,0.010544020410190091,24,24302,0,2019-11-11 17:30:27,49
35,Naruto21Cz,-2,-0.022393282627727412,27,63722,0,2019-11-11 17:30:27,49
36,show__u,-2,-0.02132138013789478,24,23892,0,2019-11-11 17:30:27,49
37,毒叔,0,-0.007860618258772434,22,453979,0,2019-11-11 17:30:27,49
38,FlauschigesAlpaka,-12,-0.08826788870356239,33,9195,0,2019-11-11 17:30:27,49
39,Ramekiano,0,-0.007146016598884031,20,28274,0,2019-11-11 17:30:28,49
40,Shaunz,601,0.14048509775792795,2542,5338276,0,2019-11-11 18:00:23,49
41,itsHafu,1418,5.390727829141438,1688,76704756,1,2019-11-11 18:00:23,49
42,Sp4zie,-157,-2.9845550984717093,1847,25628699,0,2019-11-11 18:00:23,49
43,Evangelion0,107,-0.9909642553704661,1318,17244981,0,2019-11-11 18:00:23,49
44,BlackFIreIce,207,-0.20104228123477963,1088,25234271,0,2019-11-11 18:00:23,49
45,TabzzHD,131,-0.6666131125596406,1148,3237626,1,2019-11-11 18:00:23,49
